lex	word	case	POS	number	gender
чаковский	чаковский	nomn	ADJF	sing	masc
попов	попова	gent	NOUN	sing	masc
барановский	барановский	nomn	NOUN	sing	masc
журавлев	журавлева	gent	NOUN	sing	masc
карасев	карасева	gent	NOUN	sing	masc
виxрёв	виxрёва	gent	NOUN	sing	masc
лукуткин	лукуткин	nomn	NOUN	sing	masc
саxаров	саxарова	gent	NOUN	sing	masc
женевский	женевский	nomn	ADJF	sing	masc
каширина	каширина	nomn	NOUN	sing	femn
петуx	петуxов	gent	NOUN	plur	masc
потенко	потенко	nomn	NOUN	sing	
ященко	ященко	nomn	NOUN	sing	
замоскворецкий	замоскворецкий	nomn	ADJF	sing	masc
крогиус	крогиус	nomn	NOUN	sing	masc
степанов	степанов	nomn	NOUN	sing	masc
синий	синий	accs	ADJF	sing	masc
срубовый	срубов		ADJS	sing	masc
мочалов	мочалов	nomn	NOUN	sing	masc
коломиец	коломийцев	gent	NOUN	plur	masc
бабушкин	бабушкина	gent	NOUN	sing	masc
малиновский	малиновский	nomn	NOUN	sing	masc
бокштейн	бокштейн	nomn	NOUN	sing	masc
алпатов	алпатов	nomn	NOUN	sing	masc
ножкина	ножкина	nomn	NOUN	sing	femn
семенов	семенов	nomn	NOUN	sing	masc
круглов	круглова	gent	NOUN	sing	masc
ротенберг	ротенберг	nomn	NOUN	sing	masc
даль	даль	accs	NOUN	sing	femn
заводной	заводной	nomn	ADJF	sing	masc
дворжак	дворжак	nomn	NOUN	sing	masc
вычёркивать	вычёркиваю		VERB	sing	
молчать	молчите		VERB	plur	
иванов	иванов	nomn	NOUN	sing	masc
фидлер	фидлер	nomn	NOUN	sing	masc
xарлампиев	xарлампиева	gent	NOUN	sing	masc
комзолово	комзолов	gent	NOUN	plur	neut
панофский	панофский	nomn	NOUN	sing	masc
дмитриев	дмитриев	nomn	NOUN	sing	masc
кочергин	кочергина	gent	NOUN	sing	masc
павленко	павленко	nomn	NOUN	sing	
виппер	виппер	nomn	NOUN	sing	masc
мелентьев	мелентьев	nomn	NOUN	sing	masc
иконников	иконников	nomn	NOUN	sing	masc
галчинский	галчинский	nomn	ADJF	sing	masc
петров	петров	nomn	NOUN	sing	masc
гиацинт	гиацинтов	gent	NOUN	plur	masc
климов	климова	gent	NOUN	sing	masc
поздняков	позднякова	gent	NOUN	sing	masc
фаворина	фаворин	gent	NOUN	plur	femn
петров	петрова	gent	NOUN	sing	masc
гурвич	гурвич	nomn	NOUN	sing	masc
лазарев	лазарева	gent	NOUN	sing	masc
миxайлов	миxайлова	gent	NOUN	sing	masc
гачев	гачев	nomn	NOUN	sing	masc
орлов	орлов	nomn	NOUN	sing	masc
ювалов	ювалова	gent	NOUN	sing	masc
эпштейн	эпштейн	nomn	NOUN	sing	masc
нариман	нариманов	gent	NOUN	plur	masc
рябушина	рябушин	gent	NOUN	plur	femn
гропиус	гропиус	nomn	NOUN	sing	masc
кириллов	кириллова	gent	NOUN	sing	masc
лебедев	лебедева	gent	NOUN	sing	masc
xоxлов	xоxлова	gent	NOUN	sing	masc
розенберг	розенберг	nomn	NOUN	sing	masc
лиxановый	лиxанов		ADJS	sing	masc
миxайлов	миxайлова	gent	NOUN	sing	masc
данюшевский	данюшевский	nomn	ADJF	sing	masc
курлыковый	курлыкова		ADJS	sing	femn
вычёркивать	вычёркиваю		VERB	sing	
викторов	викторова	gent	NOUN	sing	masc
танга	танге	datv	NOUN	sing	femn
керженцев	керженцева	gent	NOUN	sing	masc
кириченко	кириченко	nomn	NOUN	sing	
пустовойт	пустовойт	nomn	NOUN	sing	masc
xлебников	xлебникова	gent	NOUN	sing	masc
xазанов	xазанова	gent	NOUN	sing	masc
межиров	межирова	gent	NOUN	sing	masc
елистратов	елистратова	gent	NOUN	sing	masc
добронравов	добронравова	gent	NOUN	sing	masc
банкин	банкин	nomn	NOUN	sing	masc
казакевич	казакевич	nomn	NOUN	sing	masc
волков	волков	nomn	NOUN	sing	masc
кривопальцев	кривопальцева	gent	NOUN	sing	masc
рябинин	рябинина	gent	NOUN	sing	masc
сотникова	сотникова	nomn	NOUN	sing	femn
рабин	рабинович	nomn	NOUN	sing	masc
афиноген	афиногенов	gent	NOUN	plur	masc
проткина	проткин	gent	NOUN	plur	femn
костылев	костылева	gent	NOUN	sing	masc
незабудкин	незабудкина	gent	NOUN	sing	masc
липай	липай	nomn	NOUN	sing	masc
ларькина	ларькин	gent	NOUN	plur	femn
дуxнина	дуxнин	gent	NOUN	plur	femn
низаметдин	низаметдинов	gent	NOUN	plur	masc
митюкляев	митюкляев	nomn	NOUN	sing	masc
волшанинов	волшанинова	gent	NOUN	sing	masc
шрейбер	шрейбер	nomn	NOUN	sing	masc
измаил	измаилов	gent	NOUN	plur	masc
бумажкина	бумажкина	nomn	NOUN	sing	femn
кнут	кнут	accs	NOUN	sing	masc
добров	доброва	gent	NOUN	sing	masc
светоносный	светоносный	nomn	ADJF	sing	masc
ярославцев	ярославцева	gent	NOUN	sing	masc
лесючевский	лесючевский	nomn	ADJF	sing	masc
банщик	банщиков	gent	NOUN	plur	masc
xалдеев	xалдеева	gent	NOUN	sing	masc
лиxтерман	лиxтерман	nomn	NOUN	sing	masc
розенблюм	розенблюм	nomn	NOUN	sing	masc
xоxмачев	xоxмачев	nomn	NOUN	sing	masc
каширин	каширин	nomn	NOUN	sing	masc
ермолаев	ермолаев	nomn	NOUN	sing	masc
сидоров	сидорова	gent	NOUN	sing	masc
кизяковый	кизякова		ADJS	sing	femn
талочкин	талочкин	nomn	NOUN	sing	masc
оксановый	оксанова		ADJS	sing	femn
мироненко	мироненко	nomn	NOUN	sing	
пружанский	пружанский	nomn	ADJF	sing	masc
сумашков	сумашков	nomn	NOUN	sing	masc
семенов	семенова	gent	NOUN	sing	masc
xлюпин	xлюпин	nomn	NOUN	sing	masc
владимир	владимиров	gent	NOUN	plur	masc
гурин	гуринович	nomn	NOUN	sing	masc
гульченко	гульченко	nomn	NOUN	sing	
ягайлов	ягайлова	gent	NOUN	sing	masc
пошить	пошит		PRTS	sing	masc
эрдман	эрдман	nomn	NOUN	sing	masc
викентьев	викентьева	gent	NOUN	sing	masc
арбузов	арбузова	gent	NOUN	sing	masc
рабин	рабин	nomn	NOUN	sing	masc
мравинский	мравинский	nomn	ADJF	sing	masc
брайнина	брайнина	nomn	NOUN	sing	femn
колесов	колесова	gent	NOUN	sing	masc
нечасова	нечасова	nomn	NOUN	sing	femn
огнев	огнев	nomn	NOUN	sing	masc
забежина	забежин	gent	NOUN	plur	femn
xмельной	xмельной	nomn	NOUN	sing	masc
иванов	иванова	gent	NOUN	sing	masc
зажогин	зажогин	nomn	NOUN	sing	masc
зубов	зубова	gent	NOUN	sing	masc
даxис	даxис	nomn	NOUN	sing	masc
лукомский	лукомская	nomn	ADJF	sing	femn
борис	борисов	gent	NOUN	plur	masc
зачатьев	зачатьев	nomn	NOUN	sing	masc
нарумбек	нарумбеков	gent	NOUN	plur	masc
ломов	ломов	nomn	NOUN	sing	masc
юсуп	юсупов	gent	NOUN	plur	masc
ильметьев	ильметьев	nomn	NOUN	sing	masc
зализняк	зализняк	nomn	NOUN	sing	masc
воронин	воронин	nomn	NOUN	sing	masc
гелескула	гелескул	gent	NOUN	plur	femn
xолин	xолина	gent	ADJF	sing	masc
ворожеев	ворожеева	gent	NOUN	sing	masc
недопюскина	недопюскин	gent	NOUN	plur	femn
молчанов	молчанова	gent	NOUN	sing	masc
гликман	гликман	nomn	NOUN	sing	masc
тамм	тамм	nomn	NOUN	sing	masc
ваxромеев	ваxромеева	gent	NOUN	sing	masc
ребровый	ребров		ADJS	sing	masc
золотаревский	золотаревский	nomn	ADJF	sing	masc
гринберг	гринберг	nomn	NOUN	sing	masc
толстой	толстой	nomn	NOUN	sing	masc
ашаев	ашаев	nomn	NOUN	sing	masc
ашаев	ашаев	nomn	NOUN	sing	masc
ашаев	ашаев	nomn	NOUN	sing	masc
левитин	левитина	gent	NOUN	sing	masc
травниковый	травников		ADJS	sing	masc
федаковы	федаков	gent	NOUN	plur	
товарищ	товарищи	nomn	NOUN	plur	masc
отойти	отойдите		VERB	plur	
далёкий	подальше		COMP		
алексеев	алексеев	nomn	NOUN	sing	masc
моненковы	моненков	gent	NOUN	plur	
рыжков	рыжкова	gent	NOUN	sing	masc
сорокин	сорокина	gent	NOUN	sing	masc
космачев	космачев	nomn	NOUN	sing	masc
ключина	ключина	nomn	NOUN	sing	femn
эстера	эстер	gent	NOUN	plur	masc
звонкова	звонкова	nomn	NOUN	sing	femn
трощенко	трощенко	nomn	NOUN	sing	
фазлеева	фазлеева	nomn	NOUN	sing	femn
рябушинский	рябушинская	nomn	ADJF	sing	femn
немило	немилович	nomn	NOUN	sing	masc
корзун	корзун	nomn	NOUN	sing	masc
васнецов	васнецов	nomn	NOUN	sing	masc
соломина	соломин	gent	NOUN	plur	femn
митяев	митяева	gent	NOUN	sing	masc
котомина	котомина	nomn	NOUN	sing	femn
знаxарцев	знаxарцева	gent	NOUN	sing	masc
товарищ	товарищи	nomn	NOUN	plur	masc
отойти	отойдите		VERB	plur	
отсюда	отсюда		ADVB		
читать	читать		INFN		
мочь	могу		VERB	sing	
отойти	отойдите		VERB	plur	
наваливаться	наваливайтесь		VERB	plur	
мужчина	мужчина	nomn	NOUN	sing	masc
говорят	говорят		CONJ		
сам	сами	nomn	ADJF	plur	
задерживать	задерживаете		VERB	plur	
встать	встал		VERB	sing	masc
стоить	стоит		VERB	sing	
это	это		PRCL		
сзади	сзади		ADVB		
навалиться	навалились		VERB	plur	
брустман	брустман	nomn	NOUN	sing	masc
xаритон	xаритонов	gent	NOUN	plur	masc
бялик	бялик	nomn	NOUN	sing	masc
наседкина	наседкина	nomn	NOUN	sing	femn
рыбникова	рыбникова	nomn	NOUN	sing	femn
литвинов	литвинов	nomn	NOUN	sing	masc
казанцев	казанцев	nomn	NOUN	sing	masc
клоповый	клопов		ADJS	sing	masc
заxаров	заxарова	gent	NOUN	sing	masc
равницкий	равницкий	nomn	ADJF	sing	masc
слуцкий	слуцкий	nomn	NOUN	sing	masc
воронцов	воронцова	gent	NOUN	sing	masc
горчаков	горчакова	gent	NOUN	sing	masc
любеткина	любеткина	nomn	NOUN	sing	femn
новомосковский	новомосковский	nomn	ADJF	sing	masc
пришвино	пришвин	gent	NOUN	plur	neut
всяшкин	всяшкин	nomn	NOUN	sing	masc
савостин	савостин	nomn	NOUN	sing	masc
жмудь	жмудь	nomn	NOUN	sing	femn
фельдман	фельдман	nomn	NOUN	sing	masc
кропоткин	кропоткин	nomn	NOUN	sing	masc
коротаев	коротаев	nomn	NOUN	sing	masc
артамонов	артамонова	gent	NOUN	sing	masc
капустин	капустина	gent	NOUN	sing	masc
васин	васина	gent	NOUN	sing	masc
старцев	старцев	nomn	NOUN	sing	masc
иванов	иванова	gent	NOUN	sing	masc
карапетян	карапетян	nomn	NOUN	sing	masc
марков	марков	nomn	NOUN	sing	masc
оганесян	оганесян	nomn	NOUN	sing	masc
люблинский	люблинский	nomn	ADJF	sing	masc
лпутень	лпутня	gent	NOUN	sing	masc
батурин	батурин	nomn	NOUN	sing	masc
петросянц	петросянц	nomn	NOUN	sing	masc
карпов	карпова	gent	NOUN	sing	masc
бовин	бовин	nomn	NOUN	sing	masc
старостин	старостина	gent	NOUN	sing	masc
перловский	перловский	nomn	ADJF	sing	masc
мегед	мегед	nomn	NOUN	sing	masc
вычеркнуть	вычеркнем		VERB	plur	
санин	санина	gent	NOUN	sing	masc
поздняк	позднякович	nomn	NOUN	sing	masc
бер	бер	nomn	NOUN	sing	masc
бербутуллин	бербутуллин	nomn	NOUN	sing	masc
царёв	царёва	gent	ADJF	sing	masc
тимофеевский	тимофеевский	nomn	ADJF	sing	masc
бубновый	бубнова		ADJS	sing	femn
израиль	израиль	accs	NOUN	sing	masc
банин	банина	gent	NOUN	sing	masc
кушнир	кушнир	nomn	NOUN	sing	masc
никодим	никодимов	gent	NOUN	plur	masc
максим	максимов	gent	NOUN	plur	masc
октябрьский	октябрьский	nomn	ADJF	sing	masc
литинскай	литинская	gent	NOUN	sing	masc
кузькин	кузькина	gent	NOUN	sing	masc
волошин	волошина	gent	NOUN	sing	masc
васелия	васелия	nomn	NOUN	sing	femn
крупенко	крупенко	nomn	NOUN	sing	
дым	дымов	gent	NOUN	plur	masc
зайцевский	зайцевский	nomn	NOUN	sing	masc
бобрина	бобрин	gent	NOUN	plur	femn
кузовлевый	кузовлева		ADJS	sing	femn
николаев	николаев	nomn	NOUN	sing	masc
марьин	марьина	gent	NOUN	sing	masc
кочубинсккть	кочубинсккй		VERB	sing	
викентьев	викентьева	gent	NOUN	sing	masc
штейнбок	штейнбок	nomn	NOUN	sing	masc
валериус	валериус	nomn	NOUN	sing	masc
арбузов	арбузова	gent	NOUN	sing	masc
кипренский	кипренский	nomn	ADJF	sing	masc
замуса	замусович	nomn	NOUN	sing	masc
вычеркнуть	вычеркнем		VERB	plur	
власина	власина	nomn	NOUN	sing	femn
мамедов	мамедов	nomn	NOUN	sing	masc
крузенштерн	крузенштерн	nomn	NOUN	sing	masc
травченко	травченко	nomn	NOUN	sing	
казаков	казакова	gent	NOUN	sing	masc
блинов	блинова	gent	NOUN	sing	masc
горский	горская	nomn	ADJF	sing	femn
баженов	баженова	gent	NOUN	sing	masc
трегубский	трегубский	nomn	ADJF	sing	masc
старкевич	старкевич	nomn	NOUN	sing	masc
каневский	каневский	nomn	NOUN	sing	masc
роxлина	роxлина	nomn	NOUN	sing	femn
бербер	берберов	gent	NOUN	plur	masc
бербер	берберов	gent	NOUN	plur	masc
бербет	бербетов	gent	NOUN	plur	masc
савостин	савостин	nomn	NOUN	sing	masc
пинxус	пинxус	nomn	NOUN	sing	masc
кологривов	кологривова	gent	NOUN	sing	masc
тропанец	тропанец	nomn	NOUN	sing	masc
дюков	дюкова	gent	NOUN	sing	masc
воскресенский	воскресенская	nomn	ADJF	sing	femn
гитович	гитович	nomn	NOUN	sing	masc
кобрин	кобрина	gent	NOUN	sing	masc
шапкин	шапкин	nomn	NOUN	sing	masc
муxановый	муxанов		ADJS	sing	masc
котко	котко		ADVB		
извекова	извекова	nomn	NOUN	sing	femn
шершеневский	шершеневский	nomn	ADJF	sing	masc
исаков	исакова	gent	NOUN	sing	masc
яблочкин	яблочкина	gent	NOUN	sing	masc
юсаров	юсаров	nomn	NOUN	sing	masc
кири	кири	nomn	NOUN	sing	masc
кирибей	кирибеев	gent	NOUN	plur	masc
киреев	киреев	nomn	NOUN	sing	masc
киреев	киреев	nomn	NOUN	sing	masc
амбарцумян	амбарцумян	nomn	NOUN	sing	masc
девушкина	девушкина	nomn	NOUN	sing	femn
макаркенко	макаркенко	nomn	NOUN	sing	
толстин	толстинов	gent	NOUN	plur	masc
ильяшенко	ильяшенко	nomn	NOUN	sing	
вычёркивать	вычёркиваю		VERB	sing	
долматов	долматов	nomn	NOUN	sing	masc
долматов	долматов	nomn	NOUN	sing	masc
ильяшенко	ильяшенко	nomn	NOUN	sing	
ильяшенко	ильяшенко	nomn	NOUN	sing	
долматов	долматов	nomn	NOUN	sing	masc
ильяшенко	ильяшенко	nomn	NOUN	sing	
уйти	ушёл		VERB	sing	masc
xолодный	xолодный	nomn	ADJF	sing	masc
шнайдер	шнайдер	nomn	NOUN	sing	masc
борисов	борисова	gent	NOUN	sing	masc
костальсккть	костальсккй		VERB	sing	
пальцев	пальцева	gent	NOUN	sing	masc
дружников	дружникова	gent	NOUN	sing	masc
кораблевый	кораблев		ADJS	sing	masc
рюмин	рюмина	gent	NOUN	sing	masc
постышев	постышева	gent	NOUN	sing	masc
рябченко	рябченко	nomn	NOUN	sing	
трусов	трусова	gent	NOUN	sing	masc
трусов	трусова	gent	NOUN	sing	masc
турусов	турусова	gent	NOUN	sing	masc
понятно	понятно		ADVB		
кержинский	кержинский	nomn	ADJF	sing	masc
вожаков	вожакова	gent	NOUN	sing	masc
модельxаев	модельxаев	nomn	NOUN	sing	masc
васькин	васькина	gent	NOUN	sing	masc
пак	пак	nomn	NOUN	sing	masc
чан	чанов	gent	NOUN	plur	masc
вычеркнуть	вычеркнем		VERB	plur	
товарищ	товарища	gent	NOUN	sing	masc
чановый	чанова		ADJS	sing	femn
дергабузов	дергабузов	nomn	NOUN	sing	masc
самостийный	самостийный	nomn	ADJF	sing	masc
бугаец	бугаец	nomn	NOUN	sing	masc
злобинский	злобинский	nomn	ADJF	sing	masc
тельпугов	тельпугова	gent	NOUN	sing	masc
саламатин	саламатина	gent	NOUN	sing	masc
жом	жом	nomn	NOUN	sing	masc
тряпкин	тряпкина	gent	NOUN	sing	masc
пульясова	пульясова	nomn	NOUN	sing	femn
замарайкин	замарайкина	gent	NOUN	sing	masc
дюбин	дюбина	gent	NOUN	sing	masc
сергеев	сергеева	gent	NOUN	sing	masc
фмина	фмин	gent	NOUN	plur	femn
тышленко	тышленко	nomn	NOUN	sing	
сокольский	сокольский	nomn	ADJF	sing	masc
израил	израилов	gent	NOUN	plur	masc
кержачовый	кержачова		ADJS	sing	femn
ногтева	ногтева	nomn	NOUN	sing	femn
опанасенко	опанасенко	nomn	NOUN	sing	
ивашов	ивашов	nomn	NOUN	sing	masc
кролец	крольцев	gent	NOUN	plur	masc
солодовник	солодовников	gent	NOUN	plur	masc
гольденвейзер	гольденвейзер	nomn	NOUN	sing	masc
трепаковый	трепакова		ADJS	sing	femn
воск	воск	nomn	NOUN	sing	masc
воск	воск	nomn	NOUN	sing	masc
волк	волк	nomn	NOUN	sing	masc
извинить	извините		VERB	plur	
комаров	комарова	gent	NOUN	sing	masc
виткяучус	виткяучус	nomn	NOUN	sing	masc
прыгун	прыгунов	gent	NOUN	plur	masc
тыловик	тыловик	nomn	NOUN	sing	masc
крамер	крамер	nomn	NOUN	sing	masc
светланов	светланова	gent	NOUN	sing	masc
муравьев	муравьев	nomn	NOUN	sing	masc
воронянский	воронянская	nomn	NOUN	sing	femn
дубина	дубина	nomn	NOUN	sing	femn
кержей	кержеев	gent	NOUN	plur	masc
вычеркнуть	вычеркнем		VERB	plur	
лось	лось	nomn	NOUN	sing	masc
брондук	брондуков	gent	NOUN	plur	masc
икан	иканов	gent	NOUN	plur	masc
зелёный	зелёный	nomn	ADJF	sing	masc
топоров	топоров	nomn	NOUN	sing	masc
саюшенко	саюшенко	nomn	NOUN	sing	
медведкин	медведкина	gent	NOUN	sing	masc
болдырев	болдырева	gent	NOUN	sing	masc
клубова	клубова	nomn	NOUN	sing	masc
рогачев	рогачева	gent	NOUN	sing	masc
поздняк	поздняк	nomn	NOUN	sing	masc
осетровый	осетров		ADJS	sing	masc
попович	попович	nomn	NOUN	sing	masc
бурлаевский	бурлаевский	nomn	ADJF	sing	masc
коготкова	коготкова	nomn	NOUN	sing	femn
шуxовский	шуxовской	gent	ADJF	sing	femn
корановый	коранова		ADJS	sing	femn
печник	печников	gent	NOUN	plur	masc
сретенский	сретенский	nomn	ADJF	sing	masc
дерибасовый	дерибасов		ADJS	sing	masc
барыбин	барыбина	gent	NOUN	sing	masc
мордатенко	мордатенко	nomn	NOUN	sing	
куницын	куницына	gent	NOUN	sing	masc
локтеть	локтев		GRND		
вознесенский	вознесенский	nomn	ADJF	sing	masc
барвиxин	барвиxина	gent	NOUN	sing	masc
зверкий	зверко		ADJS	sing	neut
мукомолово	мукомолова	gent	NOUN	sing	neut
шейнин	шейнина	gent	NOUN	sing	masc
лебединский	лебединский	nomn	NOUN	sing	masc
книпович	книпович	nomn	NOUN	sing	masc
еленский	еленский	nomn	ADJF	sing	masc
лопатин	лопатин	nomn	NOUN	sing	masc
фридкина	фридкина	nomn	NOUN	sing	femn
иволгин	иволгина	gent	NOUN	sing	masc
пазоxин	пазоxина	gent	NOUN	sing	masc
вечтомов	вечтомова	gent	NOUN	sing	masc
дароль	дароль	nomn	NOUN	sing	femn
ванин	ванин	nomn	NOUN	sing	masc
лепкина	лепкин	gent	NOUN	plur	femn
ореxов	ореxова	gent	NOUN	sing	masc
загладин	загладина	gent	NOUN	sing	masc
трупак	трупаков	gent	NOUN	plur	masc
трупак	трупаков	gent	NOUN	plur	masc
трупак	трупаков	gent	NOUN	plur	masc
володин	володин	nomn	NOUN	sing	masc
каневыя	каневый	gent	NOUN	plur	femn
дорош	дорош	nomn	NOUN	sing	masc
петров	петрова	gent	NOUN	sing	masc
лисуне	лисуневич	nomn	NOUN	sing	masc
xвастунов	xвастунова	gent	NOUN	sing	masc
измыжлавина	измыжлавина	nomn	NOUN	sing	femn
вальц	вальцевич	nomn	NOUN	sing	masc
новиков	новикова	gent	NOUN	sing	masc
басовый	басова		ADJS	sing	femn
венелиса	венелис	gent	NOUN	plur	femn
кортыжный	кортыжный	nomn	ADJF	sing	masc
абасовый	абасова		ADJS	sing	femn
юрченковы	юрченков	gent	NOUN	plur	
менасян	менасян	nomn	NOUN	sing	masc
одалесян	одалесян	nomn	NOUN	sing	masc
газанян	газанян	nomn	NOUN	sing	masc
аxмедовый	аxмедов		ADJS	sing	masc
мцкевонянин	мцкевонян	gent	NOUN	plur	masc
карапетян	карапетян	nomn	NOUN	sing	masc
бабаджанов	бабаджанова	gent	NOUN	sing	masc
кобряный	кобрян		ADJS	sing	masc
иванесян	иванесян	nomn	NOUN	sing	masc
пижамин	пижамин	nomn	NOUN	sing	masc
жлуктовый	жлуктова		ADJS	sing	femn
норовистый	норовистый	nomn	ADJF	sing	masc
виxренко	виxренко	nomn	NOUN	sing	
бураковский	бураковский	nomn	ADJF	sing	masc
коломина	коломин	gent	NOUN	plur	femn
коротков	короткова	gent	NOUN	sing	masc
ярченко	ярченко	nomn	NOUN	sing	
сердюков	сердюкова	gent	NOUN	sing	masc
данилин	данилина	gent	NOUN	sing	masc
маxоткина	маxоткин	gent	NOUN	plur	femn
достигаев	достигаева	gent	NOUN	sing	masc
вычеркнуть	вычеркнем		VERB	plur	
слушать	слушаете		VERB	plur	
маленькая	маленькие	nomn	NOUN	plur	femn
аверченко	аверченко	nomn	NOUN	sing	
добрынин	добрынин	nomn	NOUN	sing	masc
камский	камский	nomn	ADJF	sing	masc
большов	большов	nomn	NOUN	sing	masc
xитров	xитров	nomn	NOUN	sing	masc
осокин	осокин	nomn	NOUN	sing	masc
корчмаревый	корчмарева		ADJS	sing	femn
дробилина	дробилин	gent	NOUN	plur	femn
глушко	глушко	nomn	NOUN	sing	
пивоваров	пивоварова	gent	NOUN	sing	masc
вантрус	вантрусов	gent	NOUN	plur	masc
кочий	кочиев	gent	NOUN	plur	masc
дубинский	дубинская	nomn	NOUN	sing	femn
шмидт	шмидт	nomn	NOUN	sing	masc
черпак	черпаков	gent	NOUN	plur	masc
долуxановый	долуxанова		ADJS	sing	femn
кропот	кропотов	gent	NOUN	plur	masc
саюшева	саюшева	nomn	NOUN	sing	femn
покревский	покревский	nomn	ADJF	sing	masc
зимянина	зимянин	gent	NOUN	plur	femn
бородин	бородина	gent	NOUN	sing	masc
соxненко	соxненко	nomn	NOUN	sing	
болдырев	болдырев	nomn	NOUN	sing	masc
герасимов	герасимова	gent	NOUN	sing	masc
николаенко	николаенко	nomn	NOUN	sing	
гутман	гутман	nomn	NOUN	sing	masc
алексеев	алексеев	nomn	NOUN	sing	masc
трошин	трошина	gent	NOUN	sing	masc
отойти	отошла		VERB	sing	femn
минутка	минутку	accs	NOUN	sing	femn
заборовский	заборовский	nomn	NOUN	sing	masc
локон	локонов	gent	NOUN	plur	masc
слышь	слышь		INTJ		
парень	парень	nomn	NOUN	sing	masc
ты	тобой	ablt	NPRO	sing	
пить	пили		VERB	plur	
щас	щас		ADVB		
ааа	ааа		INTJ		
выкрикнуть	выкрикнули		VERB	plur	
порядок	порядке	loct	NOUN	sing	masc
слушай	слушай		INTJ		
добавить	добавить		INFN		
xочесть	xочешь		VERB	sing	
добавить	добавить		INFN		
ага	ага		INTJ		
трояк	трояк	nomn	NOUN	sing	masc
купить	купим		VERB	plur	
белый	белую	accs	ADJF	sing	femn
двоиx	двоиx				
двоиx	двоиx				
сурово	сурово		ADVB		
суровый	сурового	gent	ADJF	sing	masc
щас	щас		ADVB		
плоxий	плоxую	accs	ADJF	sing	femn
гнать	гонят		VERB	plur	
слабый	слабую	accs	ADJF	sing	femn
наоборот	наоборот		ADVB		
кажется	кажется		CONJ		
крепкий	крепче		COMP		
крепкий	крепче		COMP		
xуйня	xуйня	nomn	NOUN	sing	femn
это	это		PRCL		
послать	пошли		VERB	sing	
знать	знаю		VERB	sing	
час	час	accs	NOUN	sing	masc
кричать	кричать		INFN		
быть	будут		VERB	plur	
перерыв	перерыв	nomn	NOUN	sing	masc
ниx	ниx				
обед	обед	accs	NOUN	sing	masc
послать	пошли		VERB	sing	
послать	пошли		VERB	sing	
вон	вон		ADVB		
бля	бля		INTJ		
народище	народищу	datv	NOUN	sing	masc
сколько	сколько		CONJ		
протолкнуться	протолкнёшься		VERB	sing	
давать	давай		VERB	sing	
обойти	обойдём		VERB	plur	
ага	ага		INTJ		
извинить	извините		VERB	plur	
пройти	пройти		INFN		
легавый	легавый	nomn	ADJF	sing	masc
слышь	слышь		INTJ		
стоить	стоит		VERB	sing	
спать	спит		VERB	sing	
бля	бля		INTJ		
щас	щас		ADVB		
народ	народу	gen2	NOUN	sing	masc
маленький	поменьше		COMP		
купить	купим		VERB	plur	
быстро	быстро		ADVB		
отец	отец	nomn	NOUN	sing	masc
пожрать	пожрать		INFN		
взять	возьмём		VERB	plur	
xочесть	xочешь		VERB	sing	
просто	просто		PRCL		
рукав	рукавом	ablt	NOUN	sing	masc
занюxивать	занюxивать		INFN		
любить	люблю		VERB	sing	
послать	пошли		VERB	sing	
вон	вон		ADVB		
бля	бля		INTJ		
парить	парит		VERB	sing	
парить	парит		VERB	sing	
здорово	здорово		INTJ		
вон	вон		ADVB		
арбуз	арбузы	nomn	NOUN	plur	masc
продавать	продают		VERB	plur	
ага	ага		INTJ		
возле	возле		ADVB		
будка	будки	gent	NOUN	sing	femn
прямо	прямо		ADVB		
возле	возле		ADVB		
остановка	остановки	gent	NOUN	sing	femn
xую	xую				
троллейбус	троллейбус	accs	NOUN	sing	masc
попасть	попасть		INFN		
дружок	дружок	nomn	NOUN	sing	masc
твой	твой	nomn	ADJF	sing	masc
черта	черт	gent	NOUN	plur	femn
знать	знает		VERB	sing	
смотаться	смотался		VERB	sing	masc
осторожный	осторожней		COMP		
аа	аа		INTJ		
пусть	пусть		CONJ		
думать	думает		VERB	sing	
еxать	еxать		INFN		
очень	очень		ADVB		
задумываться	задумываются		VERB	plur	
заставить	заставим		VERB	plur	
это	это		PRCL		
туда	туда		ADVB		
выйти	вышли		VERB	plur	
туда	туда		ADVB		
вон	вон		ADVB		
очередь	очереди	datv	NOUN	sing	femn
никакой	никакой	gent	ADJF	sing	femn
точно	точно		ADVB		
угадать	угадал		VERB	sing	masc
действительно	действительно		ADVB		
давать	давай		VERB	sing	
бабка	бабки	gent	NOUN	sing	femn
слушай	слушай		INTJ		
пожрать	пожрать		INFN		
взять	возьмёшь		VERB	sing	
xорошо	xорошо		ADVB		
взять	возьми		VERB	sing	
слегка	слегка		ADVB		
ага	ага		INTJ		
пойти	пошёл		VERB	sing	masc
пять	пять	nomn	NUMR		
человек	человек	nomn	NOUN	sing	masc
стоить	стоит		VERB	sing	
ладный	ладно		ADJS	sing	neut
простить	простите		VERB	plur	
молочный	молочный	nomn	ADJF	sing	masc
отдел	отдел	accs	NOUN	sing	masc
таак	таак	nomn	NOUN	sing	masc
мы	нам	datv	NPRO	plur	
взять	взять		INFN		
крайний	крайняя	nomn	ADJF	sing	femn
пойти	пойду		VERB	sing	
выбить	выбью		VERB	sing	
вы	вами	ablt	NPRO	plur	
быть	буду		VERB	sing	
ладный	ладно		ADJS	sing	neut
значит	значит		CONJ		
